;n;label;hit;total;percent
288;10;9;25.0;33.0;0.7575757575757576
289;10;B;32.0;35.0;0.9142857142857143
290;10;C;27.0;35.0;0.7714285714285715
291;10;D;14.0;23.0;0.6086956521739131
292;10;F;23.0;28.0;0.8214285714285714
293;10;G;22.0;23.0;0.9565217391304348
294;10;H;19.0;32.0;0.59375
295;10;J;14.0;26.0;0.5384615384615384
296;10;K;28.0;33.0;0.8484848484848485
297;10;L;26.0;33.0;0.7878787878787878
298;10;M;28.0;35.0;0.8
299;10;N;27.0;34.0;0.7941176470588235
300;10;P;19.0;21.0;0.9047619047619048
301;10;R;23.0;30.0;0.7666666666666667
302;10;S;26.0;31.0;0.8387096774193549
303;10;T;14.0;22.0;0.6363636363636364
304;10;V;25.0;28.0;0.8928571428571429
305;10;W;20.0;29.0;0.6896551724137931
306;10;X;27.0;33.0;0.8181818181818182
307;10;Z;19.0;23.0;0.8260869565217391
308;11;1;17.0;25.0;0.68
309;11;2;16.0;22.0;0.7272727272727273
310;11;3;28.0;33.0;0.8484848484848485
311;11;4;18.0;26.0;0.6923076923076923
312;11;5;21.0;23.0;0.9130434782608695
313;11;6;19.0;28.0;0.6785714285714286
314;11;7;14.0;22.0;0.6363636363636364
315;11;8;23.0;29.0;0.7931034482758621
316;11;9;24.0;31.0;0.7741935483870968
317;11;B;32.0;33.0;0.9696969696969697
318;11;C;19.0;33.0;0.5757575757575758
319;11;D;15.0;21.0;0.7142857142857143
320;11;F;28.0;34.0;0.8235294117647058
321;11;G;21.0;24.0;0.875
322;11;H;16.0;26.0;0.6153846153846154
323;11;J;25.0;31.0;0.8064516129032258
324;11;K;31.0;35.0;0.8857142857142857
325;11;L;35.0;39.0;0.8974358974358975
326;11;M;25.0;29.0;0.8620689655172413
327;11;N;28.0;32.0;0.875
328;11;P;23.0;26.0;0.8846153846153846
329;11;R;21.0;27.0;0.7777777777777778
330;11;S;32.0;38.0;0.8421052631578947
331;11;T;21.0;26.0;0.8076923076923077
332;11;V;21.0;26.0;0.8076923076923077
333;11;W;24.0;29.0;0.8275862068965517
334;11;X;19.0;26.0;0.7307692307692307
335;11;Z;20.0;26.0;0.7692307692307693
336;12;1;16.0;21.0;0.7619047619047619
337;12;2;21.0;26.0;0.8076923076923077
338;12;3;26.0;29.0;0.896551724137931
339;12;4;20.0;29.0;0.6896551724137931
340;12;5;30.0;32.0;0.9375
