;n;label;hit;total;percent
185;6;L;33.0;36.0;0.9166666666666666
186;6;M;26.0;28.0;0.9285714285714286
187;6;N;33.0;35.0;0.9428571428571428
188;6;P;29.0;30.0;0.9666666666666667
189;6;R;25.0;25.0;1.0
190;6;S;23.0;24.0;0.9583333333333334
191;6;T;21.0;23.0;0.9130434782608695
192;6;V;27.0;33.0;0.8181818181818182
193;6;W;25.0;27.0;0.9259259259259259
194;6;X;29.0;30.0;0.9666666666666667
195;6;Z;33.0;33.0;1.0
196;7;1;21.0;26.0;0.8076923076923077
197;7;2;21.0;22.0;0.9545454545454546
198;7;3;30.0;33.0;0.9090909090909091
199;7;4;25.0;34.0;0.7352941176470589
200;7;5;22.0;22.0;1.0
201;7;6;21.0;24.0;0.875
202;7;7;22.0;26.0;0.8461538461538461
203;7;8;24.0;27.0;0.8888888888888888
204;7;9;26.0;31.0;0.8387096774193549
205;7;B;38.0;39.0;0.9743589743589743
206;7;C;29.0;31.0;0.9354838709677419
207;7;D;21.0;24.0;0.875
208;7;F;31.0;31.0;1.0
209;7;G;25.0;25.0;1.0
210;7;H;29.0;35.0;0.8285714285714286
211;7;J;20.0;22.0;0.9090909090909091
212;7;K;32.0;34.0;0.9411764705882353
213;7;L;25.0;28.0;0.8928571428571429
214;7;M;32.0;32.0;1.0
215;7;N;38.0;39.0;0.9743589743589743
216;7;P;22.0;24.0;0.9166666666666666
217;7;R;20.0;22.0;0.9090909090909091
218;7;S;34.0;34.0;1.0
219;7;T;23.0;26.0;0.8846153846153846
220;7;V;25.0;28.0;0.8928571428571429
221;7;W;31.0;31.0;1.0
222;7;X;17.0;20.0;0.85
223;7;Z;30.0;30.0;1.0
224;8;1;22.0;32.0;0.6875
225;8;2;25.0;32.0;0.78125
226;8;3;26.0;29.0;0.896551724137931
227;8;4;21.0;25.0;0.84
228;8;5;28.0;30.0;0.9333333333333333
229;8;6;22.0;26.0;0.8461538461538461
230;8;7;21.0;23.0;0.9130434782608695
231;8;8;22.0;26.0;0.8461538461538461
232;8;9;20.0;22.0;0.9090909090909091
233;8;B;29.0;31.0;0.9354838709677419
234;8;C;30.0;30.0;1.0
235;8;D;23.0;25.0;0.92
236;8;F;28.0;28.0;1.0
237;8;G;26.0;26.0;1.0
238;8;H;24.0;26.0;0.9230769230769231
239;8;J;22.0;23.0;0.9565217391304348
240;8;K;31.0;32.0;0.96875
241;8;L;24.0;29.0;0.8275862068965517
242;8;M;30.0;31.0;0.967741935483871
243;8;N;31.0;34.0;0.9117647058823529
244;8;P;33.0;35.0;0.9428571428571428
245;8;R;30.0;32.0;0.9375
246;8;S;20.0;21.0;0.9523809523809523
247;8;T;21.0;24.0;0.875
248;8;V;35.0;36.0;0.9722222222222222
249;8;W;34.0;34.0;1.0
250;8;X;21.0;24.0;0.875
251;8;Z;33.0;34.0;0.9705882352941176
252;9;1;19.0;29.0;0.6551724137931034
253;9;2;32.0;34.0;0.9411764705882353
254;9;3;37.0;39.0;0.9487179487179487
255;9;4;29.0;30.0;0.9666666666666667
256;9;5;16.0;18.0;0.8888888888888888
257;9;6;23.0;23.0;1.0
258;9;7;28.0;31.0;0.9032258064516129
259;9;8;25.0;27.0;0.9259259259259259
260;9;9;16.0;19.0;0.8421052631578947
261;9;B;31.0;32.0;0.96875
262;9;C;26.0;26.0;1.0
263;9;D;25.0;26.0;0.9615384615384616
264;9;F;27.0;28.0;0.9642857142857143
265;9;G;27.0;29.0;0.9310344827586207
266;9;H;21.0;23.0;0.9130434782608695
267;9;J;24.0;27.0;0.8888888888888888
268;9;K;22.0;23.0;0.9565217391304348
269;9;L;25.0;29.0;0.8620689655172413
270;9;M;23.0;27.0;0.8518518518518519
271;9;N;37.0;39.0;0.9487179487179487
272;9;P;30.0;30.0;1.0
273;9;R;20.0;23.0;0.8695652173913043
274;9;S;30.0;30.0;1.0
275;9;T;23.0;27.0;0.8518518518518519
276;9;V;40.0;42.0;0.9523809523809523
277;9;W;21.0;23.0;0.9130434782608695
278;9;X;32.0;35.0;0.9142857142857143
279;9;Z;31.0;31.0;1.0
